# Geofeed file managed by BeeCloud Global Telecom
# https://raw.githubusercontent.com/hkbeecloud/geofeeds/main/as140570.csv

103.150.118.0/24,HK,,Chai Wan,
103.150.119.0/24,JP,JP-13,Tokyo,
